"canonical_label","cluster_size","mode","confirmed_by","confirmed_at","source","notes","residuals_subcategory","residuals_subexplanation"
"Lack Of Preliminary Searching","1","r","TBS","2026-04-19T12:22:38+00:00","step4_llmassist","","outcome","Describes an observed effect on user behavior, specifically a reduction in manual search efforts."
"Agent Affirmation","1","2","TBS","2026-04-19T11:47:50+00:00","step4_llmassist","","",""
"Context Ignorance","1","r","TBS","2026-04-19T12:06:27+00:00","step4_llmassist","","constraint","Represents a restricted contextual scope that limits the AI's ability to interact effectively."
"Completeness And Standards Alignment","1","4","TBS","2026-04-19T12:04:50+00:00","step4_llmassist","","",""
"Overreliance And Copy-Pasting","1","4","TBS","2026-04-19T12:25:04+00:00","step4_llmassist","","",""
"Autonomous Script Repair","1","5","TBS","2026-04-19T11:59:14+00:00","step4_llmassist","","",""
"Reduced Peer Collaboration","1","r","TBS","2026-04-19T12:27:16+00:00","step4_llmassist","","outcome","Measures a behavioral effect of the interaction, specifically a decrease in human-to-human collaboration."
"Output Inconsistency","1","r","TBS","2026-04-19T12:24:59+00:00","step4_llmassist","","outcome","Measures the accuracy and reliability effect of the generated responses."
"Ai Misunderstands Prompts","1","r","TBS","2026-04-19T11:51:00+00:00","step4_llmassist","","constraint","Describes a system limitation or capability gap that restricts successful interaction."
"High Resource Footprint","1","r","TBS","2026-04-19T12:18:34+00:00","step4_llmassist","","constraint","Describes a systemic limitation regarding the computational or operational costs of the interaction."
"Conversational Behavior Taxonomy","1","2","TBS","2026-04-19T12:06:40+00:00","step4_llmassist","","",""
"Iterative Prompt Testing Overhead","1","r","TBS","2026-04-19T12:22:24+00:00","step4_llmassist","","constraint","Describes the cognitive load and time overhead that limits the efficiency of the interaction."
"Longitudinal Field Deployment","1","r","TBS","2026-04-19T12:23:39+00:00","step4_llmassist","","meta","Describes the research methodology and framing of the study rather than the interaction itself."
"Api Migration","1","r","TBS","2026-04-19T11:58:31+00:00","step4_llmassist","","affordance","Describes an integration and tooling context that shapes the interactions being studied."
"Inaccurate And Incomplete Propositions","2","r","TBS","2026-04-19T11:25:05+00:00","step4_llmassist","","outcome","Measures the accuracy and quality effect of the system's generated outputs."
"High-Quality Insights","1","r","TBS","2026-04-19T12:18:42+00:00","step4_llmassist","","outcome","Measures a positive effect of the interaction, specifically the quality and accuracy of information."
"Api Deprecation Challenges","1","r","TBS","2026-04-19T11:56:15+00:00","step4_llmassist","","constraint","Describes a limiting condition and external barrier that restricts the development workflow."
"Knowledge Cutoff Limitations","1","r","TBS","2026-04-19T12:22:33+00:00","step4_llmassist","","constraint","Describes a restricted scope in the model's training data that limits its usefulness."
"Mixed Conceptual Learning Outcomes","1","r","TBS","2026-04-19T12:24:03+00:00","step4_llmassist","","outcome","Directly measures the learning gain and educational effect resulting from the interaction."
"Barriers To Developer Resolution","1","r","TBS","2026-04-19T11:59:18+00:00","step4_llmassist","","constraint","Describes limiting conditions and obstacles that hinder a developer's ability to solve problems."
"Controlled Experimental Study","1","r","TBS","2026-04-19T12:06:37+00:00","step4_llmassist","","meta","Describes the research methodology and framing used to observe the phenomenon."
"Common Template Components","1","r","TBS","2026-04-19T12:04:34+00:00","step4_llmassist","","affordance","Describes structural elements or tooling surfaces that shape and enable interactions."
"Domain Context Deficit","1","r","TBS","2026-04-19T12:13:19+00:00","step4_llmassist","","constraint","Describes a limiting condition where necessary background information is lacking."
"Criticality Of Reliability","1","r","TBS","2026-04-19T12:07:06+00:00","step4_llmassist","","meta","Represents a research framing or adoption driver regarding the importance of system dependability."
"Short Artifact Interactions","1","1","TBS","2026-04-19T12:40:45+00:00","step4_llmassist","","",""
"Cross-Framework Evaluation Setup","1","r","TBS","2026-04-19T12:07:07+00:00","step4_llmassist","","meta","Describes a research methodology and experimental framing rather than an interaction effect."
"Homework Solving Usage","1","r","TBS","2026-04-19T12:18:44+00:00","step4_llmassist","","meta","Describes a broad use case or adoption pattern rather than a specific measurement."
"Consistent Test Selection","1","r","TBS","2026-04-19T12:06:22+00:00","step4_llmassist","","outcome","Measures the consistency and accuracy effect of an automated process."
"Preliminary Automated Review","1","4","TBS","2026-04-19T12:25:36+00:00","step4_llmassist","","",""
"Automated Variable Extraction","1","5","TBS","2026-04-19T11:59:07+00:00","step4_llmassist","","",""
"Improved Task Focus","1","r","TBS","2026-04-19T12:20:29+00:00","step4_llmassist","","outcome","Measures a positive psychological and productivity effect resulting from the interaction."
"Variable Scoping Errors","1","r","TBS","2026-04-19T12:47:09+00:00","step4_llmassist","","outcome","Measures a specific type of error outcome or negative effect."
"Accelerated Requirements Engineering","1","r","TBS","2026-04-19T11:30:02+00:00","step4_llmassist","","outcome","Measures a velocity and productivity effect on the engineering process."
"Decreased Forum Activity","1","r","TBS","2026-04-19T12:11:54+00:00","step4_llmassist","","outcome","Measures a behavioral shift or systemic effect resulting from adoption."
"Stack Trace Debugging","1","2","TBS","2026-04-19T12:44:47+00:00","step4_llmassist","","",""
"Ai Defect Repair","1","5","TBS","2026-04-19T11:50:43+00:00","step4_llmassist","","",""
"Prompt Reuse Strategy","1","2","TBS","2026-04-19T12:26:23+00:00","step4_llmassist","","",""
"Motivation Impact On Performance","1","r","TBS","2026-04-19T12:24:15+00:00","step4_llmassist","","outcome","Measures the effect of psychological factors on overall performance outcomes."
"High Usability Score","1","r","TBS","2026-04-19T12:18:36+00:00","step4_llmassist","","outcome","Measures user satisfaction and usability as a quantifiable effect."
"High Bug Frequency","1","r","TBS","2026-04-19T12:18:11+00:00","step4_llmassist","","outcome","Measures a negative effect or error rate resulting from the interaction."
"Replacing Traditional Search","1","r","TBS","2026-04-19T12:27:39+00:00","step4_llmassist","","meta","Describes an adoption trend and behavioral shift rather than a direct measurement."
"General Text Generation And Review","1","r","TBS","2026-04-19T12:17:35+00:00","step4_llmassist","","meta","Describes a broad use case or adoption pattern rather than a specific outcome."
"Desire For Human Interaction","1","r","TBS","2026-04-19T12:12:18+00:00","step4_llmassist","","meta","Describes a user preference or adoption inhibitor regarding the phenomenon."
"Ai-Human Alignment","1","r","TBS","2026-04-19T11:55:52+00:00","step4_llmassist","","meta","Represents a broad research framing or conceptual goal regarding the interaction."
"Opaque Context Window","1","r","TBS","2026-04-19T12:24:57+00:00","step4_llmassist","","constraint","Describes a limiting condition or lack of transparency in the system's processing scope."
"Slice-Level Testing","1","5","TBS","2026-04-19T12:40:53+00:00","step4_llmassist","","",""
"Conversational Problem Solving","1","2","TBS","2026-04-19T12:06:41+00:00","step4_llmassist","","",""
"Inappropriate Ai Trust","1","4","TBS","2026-04-19T12:20:52+00:00","step4_llmassist","","",""
"Student Preference For Llm Graders","1","r","TBS","2026-04-19T12:46:07+00:00","step4_llmassist","","outcome","Measures user satisfaction and preference as an effect of the interaction."
"Context Distraction","1","r","TBS","2026-04-19T12:06:25+00:00","step4_llmassist","","constraint","Describes a limiting condition where context increases cognitive load or reduces effectiveness."
"Ai Generated Bias","1","r","TBS","2026-04-19T11:50:56+00:00","step4_llmassist","","outcome","Bias is a measurable negative effect or error resulting from the AI interaction."
"Api Generation Inaccuracies","1","r","TBS","2026-04-19T11:58:06+00:00","step4_llmassist","","outcome","Inaccuracies represent a measurable negative effect on accuracy outcomes."
"Enhanced Report Usability","1","r","TBS","2026-04-19T12:14:21+00:00","step4_llmassist","","outcome","Enhanced usability is a measurable positive effect and satisfaction outcome."
"Ethical And Security Challenges","1","2","TBS","2026-04-19T12:15:25+00:00","step4_llmassist","overrode LLM r -> 2","",""
"Fear Of Over-Reliance","1","4","TBS","2026-04-19T12:16:14+00:00","step4_llmassist","","",""
"Limited Perceived Value","1","r","TBS","2026-04-19T12:22:47+00:00","step4_llmassist","","meta","Perceived value is a classic adoption inhibitor and study finding."
"One-Shot Prompt Superiority","1","2","TBS","2026-04-19T12:24:54+00:00","step4_llmassist","","",""
"Analyzing Tool-Triggered Conversations","1","2","TBS","2026-04-19T11:56:05+00:00","step4_llmassist","","",""
"Diagramming For Comprehension","1","3","TBS","2026-04-19T12:12:38+00:00","step4_llmassist","overrode LLM 4 -> 3","",""
"Diverse Testing Concepts","1","r","TBS","2026-04-19T12:13:02+00:00","step4_llmassist","","meta","Describes a research framing or methodological scope rather than a direct interaction effect."
"Autonomous Task Execution","1","5","TBS","2026-04-19T11:59:15+00:00","step4_llmassist","","",""
"Just-In-Time Recommendation","1","1","TBS","2026-04-19T12:22:31+00:00","step4_llmassist","","",""
"Common Usage Problems","1","r","TBS","2026-04-19T12:04:43+00:00","step4_llmassist","","meta","Represents a broad study finding about adoption inhibitors and general usage."
"Direct Solution Prompting","1","2","TBS","2026-04-19T12:12:42+00:00","step4_llmassist","","",""
"Increased Suggestion Adoption","1","r","TBS","2026-04-19T12:21:04+00:00","step4_llmassist","","outcome","Measures a direct effect of the interaction, specifically the acceptance rate of AI suggestions."
"Comprehensive Security Explanations","1","4","TBS","2026-04-19T12:05:00+00:00","step4_llmassist","","",""
"Complexity Limitation","1","r","TBS","2026-04-19T12:04:53+00:00","step4_llmassist","","constraint","Explicitly describes a limiting condition on the interaction's scope or capability."
"Ai For Requirements Engineering","1","r","TBS","2026-04-19T11:50:46+00:00","step4_llmassist","","meta","Describes a research framing and domain scope rather than a specific interaction."
"Ai-Assisted Architecting","1","r","TBS","2026-04-19T11:53:34+00:00","step4_llmassist","","meta","Represents a broad research framing or domain application rather than a measurable effect."
"Context Resolution Failure","1","r","TBS","2026-04-19T12:06:29+00:00","step4_llmassist","","constraint","Relates to context window limitations, describing a constraint where the system fails to resolve context."
"Database Schema Generation","1","5","TBS","2026-04-19T12:11:51+00:00","step4_llmassist","","",""
"Copilot Code Complexity","1","r","TBS","2026-04-19T12:06:56+00:00","step4_llmassist","","outcome","Measures an effect of the interaction, specifically the complexity of the generated code."
"Black-Box Llm Distrust","1","4","TBS","2026-04-19T11:59:34+00:00","step4_llmassist","","",""
"Edge Case Failure","1","r","TBS","2026-04-19T12:13:33+00:00","step4_llmassist","","outcome","Represents a measurable negative effect or error outcome in specific edge case scenarios."
"Evaluating Model Responses","1","4","TBS","2026-04-19T12:15:30+00:00","step4_llmassist","","",""
"Few-Shot Performance Benefit","1","r","TBS","2026-04-19T12:16:20+00:00","step4_llmassist","","outcome","Directly measures a performance effect and benefit resulting from the interaction."
"Handling Flakiness","1","5","TBS","2026-04-19T12:18:06+00:00","step4_llmassist","","",""
"Interaction Path Dependency","1","r","TBS","2026-04-19T12:21:45+00:00","step4_llmassist","","constraint","Describes a limiting condition where current interactions are constrained by previous paths."
"Improved Semantic Clarity","1","r","TBS","2026-04-19T12:20:26+00:00","step4_llmassist","","outcome","Measures a positive effect and improvement in the quality of the output."
"Shallow Evidence Exploration","1","r","TBS","2026-04-19T12:40:40+00:00","step4_llmassist","","constraint","Describes a restricted scope and limiting condition in the depth of information processing."
"Junior Developer Learning","1","r","TBS","2026-04-19T12:22:27+00:00","step4_llmassist","","outcome","Directly measures a learning gain, which is a specified outcome effect."
"High User Adoption","1","r","TBS","2026-04-19T12:18:38+00:00","step4_llmassist","","meta","Represents a study finding about adoption drivers and overall tool acceptance."
"Expert Qualitative Assessment","1","4","TBS","2026-04-19T12:16:06+00:00","step4_llmassist","","",""
"Ai-Induced Dependency Errors","1","r","TBS","2026-04-19T11:55:57+00:00","step4_llmassist","","outcome","Measures a specific negative effect and error outcome caused by the AI."
"Developer Reception To Ai Code","1","4","TBS","2026-04-19T12:12:25+00:00","step4_llmassist","","",""
"Task Complexity Drives Iteration","3","2","TBS","2026-04-19T11:15:45+00:00","step4_llmassist","","",""
"Reduced Generation Efficiency","1","r","TBS","2026-04-19T12:27:04+00:00","step4_llmassist","","outcome","Measures a negative effect on productivity or velocity, fitting the outcome category."
"Simulated Onboarding Tasks","1","r","TBS","2026-04-19T12:40:48+00:00","step4_llmassist","","meta","Describes the research methodology or framing used to study the phenomenon."
"Scope Localization","1","r","TBS","2026-04-19T12:39:52+00:00","step4_llmassist","","constraint","Describes a restriction or limitation on the contextual scope of the interaction."
"Llm Ga As Integration","1","r","TBS","2026-04-19T12:22:51+00:00","step4_llmassist","","affordance","Explicitly describes an integration or enabling surface that shapes the interaction."
"Context Optimization","1","r","TBS","2026-04-19T12:06:28+00:00","step4_llmassist","","affordance","Describes an enabling mechanism or tooling depth used to shape and improve context."
"Context Provision Challenge","1","r","TBS","2026-04-19T12:06:28+00:00","step4_llmassist","","constraint","The word challenge indicates a limiting condition or difficulty in the interaction."
"Domain-Specific Context Challenge","1","r","TBS","2026-04-19T12:13:23+00:00","step4_llmassist","","constraint","Identifies a specific limitation or difficulty regarding domain-specific context."
"Chatgpt Superiority","2","r","TBS","2026-04-19T11:18:18+00:00","step4_llmassist","","outcome","Measures a comparative effect or performance result, fitting the outcome category."
