"canonical_label","pass1_codes","in_vivo_codes","passage_ids","cluster_size","confirmed_by","confirmed_at","notes"
"Semantic Reasoning Limits","[""Semantic reasoning limits""]","[""limited semantic modeling capabilities""]","[""doi:10.1109/cascon66301.2025.00025:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prior Knowledge Application","[""Prior knowledge application""]","[""generate meaningful schemas""]","[""doi:10.1145/3600211.3604712:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Opaque Input-Output Mapping","[""Opaque input-output mapping""]","[""understanding what part of the input caused the outputted code""]","[""doi:10.1145/3597503.3608128:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Taxonomy-Guided Prompting","[""Taxonomy-guided prompting""]","[""structured, domain-specific input""]","[""doi:10.54364/aaiml.2024.44171:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Quiz-Based Learning","[""Quiz-based learning""]","[""incorporating interactive quizzes""]","[""doi:10.1145/3769994.3769997:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Missing Domain Knowledge","[""Missing domain knowledge""]","[""ChatGPT lacks knowledge""]","[""doi:10.1109/icstw58534.2023.00078:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Impact Analysis Workflow","[""Impact analysis workflow""]","[""workflow of impact analysis""]","[""doi:10.1145/3746059.3747778:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"User Specifies Test Output","[""User specifies test output""]","[""users must provide the expected output of the test""]","[""doi:10.1109/tse.2024.3428972:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Testing Lifecycle Distribution","[""Testing lifecycle distribution""]","[""utilize LLMs during the initial phases of software testing""]","[""doi:10.1109/icst60714.2024.00039:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Scratchpad Reasoning Tracking","[""Scratchpad reasoning tracking""]","[""dynamic mechanism of internal memory""]","[""doi:10.1145/3696630.3728611:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Visual Workflow Development","[""Visual workflow development""]","[""construct workflows using a drag-and-drop interface""]","[""doi:10.24251/hicss.2025.896:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Transition To Task Specification","[""Transition to task specification""]","[""move into task management""]","[""doi:10.1145/3772318.3790459:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated UML Design Synthesis","[""UML Diagram Generation"", ""UML model generation support""]","[""generate UML Use Case Diagrams"", ""aid in the creation and optimization""]","[""doi:10.1109/nlbse66842.2025.00015:P001"", ""doi:10.1109/sse62657.2024.00046:P001""]","2","TBS","2026-04-19T03:06:02+00:00",""
"Targeted Explanation Generation","[""Targeted explanation generation""]","[""generating a specific type of explanation""]","[""doi:10.1145/3708518:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Quantitative Security Increase","[""Quantitative security increase""]","[""median security score""]","[""doi:10.1145/3597503.3639154:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Feature Popularity","[""Feature popularity""]","[""most frequently used feature""]","[""doi:10.1145/3769994.3769997:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Dynamic Content Reformulation","[""Dynamic content reformulation""]","[""dynamically adapt tone, style, and response structure""]","[""doi:10.18267/j.aip.282:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Iterative Prompting Techniques","[""Incremental prompting strategy"", ""Prompting strategies""]","[""incremental improvement of the solution by breaking the task into multiple prompts"", ""impact of initial prompt quality""]","[""doi:10.1109/iccp60212.2023.10398656:P005"", ""doi:10.1145/3643991.3645077:P002""]","2","TBS","2026-04-19T03:06:02+00:00",""
"Modification Before Merging","[""Modification before merging""]","[""significantly modified before merging""]","[""doi:10.1145/3643991.3645071:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Keyboard Navigation Issues","[""keyboard navigation issues""]","[""keyboard traps""]","[""doi:10.1145/3663547.3759729:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"System Architecture","[""System Architecture""]","[""modular architecture""]","[""doi:10.1049/icp.2025.3640:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Need For Developer Review","[""need for developer review""]","[""cannot be blindly trusted""]","[""doi:10.1109/ast66626.2025.00007:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Struggle With Complex Usages","[""Struggle with complex usages""]","[""struggle to generate fuzz drivers which require complex API usage specifics""]","[""doi:10.1145/3650212.3680355:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Positive Developer Reception","[""High developer acceptance"", ""high developer acceptance""]","[""73% of TestGen-LLM test improvements were accepted"", ""preference for incorporating ASTER-generated tests""]","[""doi:10.1145/3663529.3663839:P003"", ""doi:10.1109/icse-seip66354.2025.00042:P004""]","2","TBS","2026-04-19T03:06:03+00:00",""
"Domain Convention Misalignment","[""domain convention misalignment""]","[""not always align with industry or domain-specific conventions""]","[""doi:10.1109/tai.2023.3318183:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Creative Concept Exploration","[""Brainstorming and Ideation"", ""Conceptual brainstorming""]","[""idea generation"", ""tool for drafting ideas""]","[""doi:10.14569/ijacsa.2024.0150168:P001"", ""doi:10.1145/3643991.3645073:P002""]","2","TBS","2026-04-19T03:06:04+00:00",""
"Self-Healing Test Scripts","[""Self-healing test scripts""]","[""automatically fix locators, update assertions""]","[""doi:10.25103/jestr.186.21:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prompt-Engineered Seed Generation","[""Prompt-engineered seed generation""]","[""generative LLM with a step-by-step input prompt""]","[""doi:10.1145/3597926.3598067:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Traceability Limitations","[""Traceability Limitations""]","[""limitations were found in traceability""]","[""doi:10.1109/icoailo66760.2025.11156083:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Task Decomposition To Spec","[""Task decomposition to spec""]","[""transformed into well-structured specifications""]","[""doi:10.1145/3715014.3722064:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Improved Fuzzing Coverage","[""Improved fuzzing coverage""]","[""higher code coverage""]","[""doi:10.1145/3597926.3598067:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Subject Writing Difficulty","[""Subject writing difficulty""]","[""writing the subject of a commit message is the hardest work""]","[""doi:10.1109/tse.2024.3364675:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Memory Allocation Vulnerabilities","[""Memory allocation vulnerabilities""]","[""fail to perform NULL tests""]","[""doi:10.1109/tse.2024.3392499:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Sentiment Differences","[""Sentiment differences""]","[""more neutral sentiment""]","[""doi:10.1016/j.jss.2025.112541:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Hybrid Assessment Approach","[""Hybrid Assessment Approach""]","[""combining test case validation with LLM-based assessment""]","[""doi:10.1109/access.2025.3581139:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Overreliance On Ai Tools","[""Overreliance on AI tools""]","[""instead of using the Internet""]","[""doi:10.1109/sp54263.2024.00046:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prompt Engineering For Security","[""Prompt engineering for security""]","[""adding short phrases""]","[""doi:10.1007/s10664-025-10658-6:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Omission Of Requirements","[""Omission of requirements""]","[""failed to include at least one verbally stated requirement""]","[""doi:10.1109/vl-hcc65237.2025.00034:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Discovers Novel Issues","[""Discovers novel issues""]","[""identified unknown usability issues""]","[""doi:10.1109/icse55347.2025.00138:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Chatbots As Learning Supplement","[""Chatbots as learning supplement""]","[""complement to video tutorials""]","[""doi:10.1109/icsme58944.2024.00045:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Cognitive Effort","[""Reduced cognitive effort""]","[""reduced cognitive load"", ""significantly less task-induced cognitive load""]","[""doi:10.1145/3696630.3728559:P004"", ""doi:10.1109/tse.2024.3428972:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Poor Confidence Calibration","[""Poor confidence calibration""]","[""ChatGPT is not well calibrated""]","[""doi:10.1109/icstw58534.2023.00078:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"File Upload For Context","[""File upload for context""]","[""uploading the dataset""]","[""doi:10.54364/aaiml.2024.44171:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Visual Test Generation","[""Visual test generation""]","[""translating visual properties""]","[""doi:10.1145/3643787.3648032:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"State Restoration Capability","[""State restoration capability""]","[""robust checkpointing support""]","[""doi:10.1145/3706598.3713581:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Debugging Plan Generation","[""debugging plan generation""]","[""formulate a revision plan""]","[""doi:10.1145/3770762.3772662:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Parallel Chain Structures","[""Parallel chain structures""]","[""parallel logic branches""]","[""doi:10.1145/3491101.3519729:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Step-Wise Script Execution","[""Step-wise script execution""]","[""separate the scripts step-by-step""]","[""doi:10.1145/3746059.3747689:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Task Outsourcing","[""Task outsourcing""]","[""outsourcing their work""]","[""doi:10.1145/3661167.3661183:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Varied Productivity Outcomes","[""Inconsistent productivity gains"", ""Increased productivity"", ""Productivity Improvement"", ""Productivity improvement"", ""Significant productivity gain""]","[""Contradicting observations about speed-ups"", ""boosted developers' productivity"", ""doing the heavy lifting"", ""enhance productivity"", ""productivity gains"", ""accomplished by AI in just minutes""]","[""doi:10.1145/3643795.3648377:P003"", ""doi:10.24251/hicss.2025.719:P001"", ""doi:10.14569/ijacsa.2024.0150168:P006"", ""doi:10.1109/icst62969.2025.10988960:P001"", ""doi:10.1109/ase63991.2025.00024:P002"", ""doi:10.1145/3704611.3704621:P003""]","5","TBS","2026-04-18T12:59:52+00:00",""
"Need For Manual Verification","[""Need for manual verification""]","[""still had to double-check if it was correct""]","[""doi:10.1109/cog60054.2024.10645540:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Agent Apology","[""Agent Apology""]","[""employs phrases like ‘My apologies’""]","[""doi:10.1109/cascon66301.2025.00068:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Anthropomorphic Partnership Framing","[""Anthropomorphic partnership framing""]","[""senior programmer sitting right next to me""]","[""doi:10.1186/s40594-025-00592-w:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Emotional Skill Development","[""Emotional skill development""]","[""learn healthy, long-term emotional labor practices""]","[""doi:10.1145/3706598.3713705:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Native Channel Integration","[""Native channel integration""]","[""brought to the channel where coordination already lives""]","[""doi:10.7764/ric.00164.21:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Equity Improvement","[""Equity Improvement""]","[""address these gaps""]","[""doi:10.1109/csce60160.2023.00169:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Large File Poor Quality","[""Large file poor quality""]","[""becomes unacceptable""]","[""doi:10.18293/seke2023-077:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prompt Fragility And Sensitivity","[""Prompt fragility and sensitivity""]","[""sensitive to micro-level input changes""]","[""doi:10.1109/tkde.2024.3436883:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Alternative Solution Exposure","[""Alternative solution exposure""]","[""shows me a solution that I didn’t know existed""]","[""doi:10.1109/compsac61105.2024.00252:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Api/Infrastructure Fragility","[""API/Infrastructure fragility""]","[""disrupting agent coordination""]","[""doi:10.1109/icst62969.2025.10989038:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Noise Propagation In Training","[""Noise propagation in training""]","[""propagate low-quality reviews""]","[""doi:10.1109/msr66628.2025.00043:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Perceived Humanness","[""Perceived humanness""]","[""thought they negotiated with the bot""]","[""doi:10.24251/hicss.2025.522:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Modification Rate","[""High Modification Rate""]","[""needing major modifications 30% of the time""]","[""doi:10.28945/5362:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Iterative Prompting Refinement","[""Adapting via prompt engineering"", ""Explicit prompt engineering"", ""Prompt Engineering"", ""Prompt Engineering Strategy"", ""Prompt engineering"", ""Prompt engineering difficulty"", ""Prompt engineering improves outcomes"", ""Prompt engineering patterns"", ""Prompt engineering workflows"", ""Iterative contextual prompting"", ""Iterative prompting for improvements"", ""Iterative prompting strategies"", ""Iterative prompting technique"", ""Iterative prompt refinement"", ""Prompt refinement"", ""Test-driven prompt refinement""]","[""prompt engineering"", ""providing very clear and explicit explanations of what the code should do in comments"", ""systematic prompt engineering process"", ""self-contained ‘user’ prompt"", ""experiment with the wording and language"", ""learning curve for engineers"", ""modifying the prompts"", ""seven distinct prompt patterns"", ""modes of prompt engineering"", ""multi-step dialogs"", ""Request improvements"", ""trial and error approach"", ""iteratively prompt ChatGPT to improve the coverage"", ""break the task into smaller pieces and guide the AI iteratively"", ""step-by-step, divide-and-conquer approach"", ""refined prompts can yield more accurate results"", ""attaching test reports when submitting prompts""]","[""doi:10.32604/cmc.2025.068137:P002"", ""doi:10.1145/3597503.3608128:P003"", ""doi:10.1109/icodse68111.2025.11351919:P001"", ""doi:10.1109/icsme58944.2024.00063:P004"", ""doi:10.1515/labmed-2024-0034:P001"", ""doi:10.1109/iaict65714.2025.11101520:P002"", ""doi:10.1109/iccp60212.2023.10398656:P002"", ""doi:10.1109/icmi65310.2025.11141320:P001"", ""doi:10.1145/3613904.3642016:P002"", ""doi:10.1145/3729355:P004"", ""doi:10.1145/3643991.3645074:P002"", ""doi:10.1016/j.infsof.2025.107751:P003"", ""doi:10.1145/3643795.3648396:P003"", ""doi:10.1145/3756681.3757081:P004"", ""doi:10.1145/3650212.3680355:P003"", ""doi:10.1109/csecs64665.2025.11009821:P002"", ""doi:10.1145/3746059.3747689:P002""]","16","TBS","2026-04-18T12:55:22+00:00","absorbed cluster 149 'Iterative Prompt Refinement' 2026-04-19T07:25:26+00:00 (rater TBS, Task 4.2 Step-3 review; 7 members added to 9 → 16)"
"Cognitive Pace Mismatch","[""Cognitive pace mismatch""]","[""outpace the thought process""]","[""doi:10.1145/3696630.3730566:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Speed Of Ai Response","[""Speed of AI response""]","[""instant gratification""]","[""doi:10.1145/3706599.3720193:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Experience Reporting","[""Experience Reporting""]","[""experience report""]","[""doi:10.1109/csce60160.2023.00169:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Repeated Execution Without Edits","[""Repeated execution without edits""]","[""rolling the dice again""]","[""doi:10.1145/3491102.3517582:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Learning Process Telemetry","[""Learning process telemetry""]","[""recorded each student's process of learning program""]","[""doi:10.3389/fpsyg.2022.868698:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Exacerbates Incorrect Beliefs","[""Exacerbates incorrect beliefs""]","[""reinforces misconceptions""]","[""doi:10.1145/3772318.3791365:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Granularity Trade-Offs","[""Granularity trade-offs""]","[""overly fine-grained summaries risked fragmented edits""]","[""doi:10.1109/vl-hcc65237.2025.00017:P006""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Contextual Logic Errors","[""Contextual logic errors""]","[""contextually inappropriate suggestions""]","[""doi:10.32604/cmc.2025.068137:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Plan Validation And Confirmation","[""Plan validation and confirmation""]","[""reasoned agreement""]","[""doi:10.1145/3772318.3790459:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Low Analysis Usage","[""Low analysis usage""]","[""not in high demand""]","[""doi:10.5815/ijitcs.2023.06.03:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prompting Via Test Examples","[""Prompting via test examples""]","[""simply parrots back to the tool the three example tests cases""]","[""doi:10.1145/3626252.3630909:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Human-Comparable Performance","[""Human-comparable performance""]","[""performed roughly as well""]","[""doi:10.1145/3661167.3661172:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ast Structural Loss","[""AST structural loss""]","[""losing structural information""]","[""doi:10.18293/seke2024-123:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Interactive Experimentation","[""Interactive experimentation""]","[""rapid “what-if” analysis""]","[""doi:10.1145/3772318.3790874:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Knowledge Probing Via Inference","[""Knowledge probing via inference""]","[""probe the FQN knowledge""]","[""doi:10.1109/tkde.2024.3436883:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Baseline Performance Challenge","[""Baseline performance challenge""]","[""low success rate""]","[""doi:10.1109/ase56229.2023.00089:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Personality-Adapted Ai Responses","[""Personality-adapted AI responses""]","[""psychologically personalized""]","[""doi:10.18267/j.aip.282:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Opaque Automated Resolution","[""Opaque automated resolution""]","[""lack of explanatory feedback""]","[""doi:10.1145/3746059.3747689:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Dashboard Widget Generation","[""Dashboard Widget Generation""]","[""generate IT monitoring dashboard widgets""]","[""doi:10.1609/aaai.v40i47.41475:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"No Confidence Shift","[""No confidence shift""]","[""does not impact their confidence""]","[""doi:10.1109/icse55347.2025.00060:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Survey Length Constraint","[""Survey length constraint""]","[""fatigue would affect the readability assessment""]","[""doi:10.1109/icst62969.2025.10989020:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Forces Algorithmic Planning","[""Forces algorithmic planning""]","[""forces you to think through the steps""]","[""doi:10.1145/3626252.3630909:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Intent Verification Difficulty","[""Intent verification difficulty""]","[""does not lend easily to checking that the generated code correctly satisfies the user intent""]","[""doi:10.1109/tse.2024.3428972:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Active Engagement Builds Trust","[""Active Engagement Builds Trust""]","[""confidence in the tool increases""]","[""doi:10.1007/s40692-025-00375-w:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Profile Update Via Cot","[""Profile update via CoT""]","[""dynamically updating user profiles""]","[""doi:10.1109/ro-man63969.2025.11217707:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Test Data Scarcity","[""Test Data Scarcity""]","[""test case generation are one of the areas for refinement""]","[""doi:10.1145/3644815.3644945:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Enhanced Performance Outcomes","[""Improved quality and speed"", ""Performance improvement""]","[""significantly higher rubric scores"", ""success rate is 75.0%""]","[""doi:10.1145/3769694.3771128:P001"", ""doi:10.1109/ase56229.2023.00089:P004""]","2","TBS","2026-04-19T03:06:05+00:00",""
"Support Redundancy","[""Support redundancy""]","[""redundant over time""]","[""doi:10.1145/3706598.3713705:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Interaction Overhead","[""Reduced interaction overhead""]","[""minimal iterations""]","[""doi:10.1109/icmi65310.2025.11141320:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Conceptual Examples Over Production","[""Conceptual examples over production""]","[""demonstrating high-level concepts or providing examples""]","[""doi:10.1145/3643991.3645074:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Code Intention Required","[""Code intention required""]","[""more information (e.g., the context and intention of code) is needed""]","[""doi:10.1007/s10515-025-00492-x:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Pr Interface Integration","[""PR interface integration""]","[""presented to developers through the standard pull request interface""]","[""doi:10.1109/ase63991.2025.00315:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Expert Rating","[""high expert rating""]","[""weighted average score of 4.75""]","[""doi:10.14569/ijacsa.2025.0161272:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Student Annotation Task","[""Student annotation task""]","[""annotation task structured as coursework assignments""]","[""doi:10.1109/tbdata.2024.3524104:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Organizational Policy Constraint","[""Organizational policy constraint""]","[""not allowed to use open AI browsing because of security concerns""]","[""doi:10.1145/3772363.3799079:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Resource Consumption Risks","[""Resource Consumption Risks""]","[""sustainability paradox""]","[""doi:10.1002/sd.70544:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Configuration Context Prompting","[""configuration context prompting""]","[""fine-tune ChatGPT responses""]","[""doi:10.1145/3643991.3645075:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Bias Mitigation Importance","[""bias mitigation importance""]","[""importance of addressing bias""]","[""doi:10.1109/tai.2023.3318183:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Problem Resolution","[""Problem resolution""]","[""resolve problems or concerns""]","[""doi:10.1145/3661167.3661183:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Llm Output Self-Plagiarism","[""LLM output self-plagiarism""]","[""almost identical tests for the same prompt""]","[""doi:10.1145/3663529.3663839:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Human Judgment Override","[""Human judgment override""]","[""left it up to their own judgment""]","[""doi:10.1109/fie63693.2025.11328650:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Manual Output Refinement","[""Customizing AI output"", ""Modifying AI output manually""]","[""review the codes and do our customization on our own"", ""combined them""]","[""doi:10.1145/3704611.3704621:P005"", ""doi:10.1145/3597503.3639201:P005""]","2","TBS","2026-04-19T03:06:05+00:00",""
"Augmented Understanding","[""Augmented understanding""]","[""valuable insight beyond what was available from the code alone""]","[""doi:10.1109/asew67777.2025.00011:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Output Modification","[""Output Modification""]","[""modified outputs before using them""]","[""doi:10.1145/3706599.3706670:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Japanese Language Superiority","[""Japanese language superiority""]","[""Japanese has the highest level of correctness""]","[""doi:10.1145/3643991.3644917:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Rationale Variance","[""Rationale variance""]","[""variability in responses""]","[""doi:10.1145/3664646.3664762:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Lower Code Survival","[""Lower code survival""]","[""undergo changes more quickly""]","[""doi:10.1145/3643991.3645073:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Effective Initial Parallelization","[""Effective initial parallelization""]","[""effectively parallelized the application from the beginning""]","[""doi:10.1186/s40537-024-01019-z:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Impact Of Cot","[""Impact of CoT""]","[""code comprehension""]","[""doi:10.1145/3691620.3695529:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated Process Analysis","[""Automated Process Analysis""]","[""identified inefficiencies and bottlenecks""]","[""doi:10.1049/icp.2025.3640:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Perceived Chatbot Advantages","[""Perceived chatbot advantages""]","[""efficiency, accessibility, personalized support""]","[""doi:10.1109/icsme58944.2024.00045:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ci/Cd Code Review","[""CI/CD Code Review""]","[""integration as reviewer in the continuous integration""]","[""doi:10.1145/3643991.3644918:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Enhances Computational Thinking","[""Enhances computational thinking""]","[""engage their computational thinking skills""]","[""doi:10.1145/3626252.3630909:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Mixed-Model Synergy","[""Mixed-model synergy""]","[""using different LLMs as different agents""]","[""doi:10.1109/icst62969.2025.10989038:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Community Sensemaking","[""Community sensemaking""]","[""collectively make sense of AI tools""]","[""doi:10.1145/3651990:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Code Transparency Challenge","[""Code transparency challenge""]","[""imperative need for transparency""]","[""doi:10.1109/cai64502.2025.00266:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Need For Examples And Tutorials","[""Need for examples and tutorials""]","[""need for more guided instructions""]","[""doi:10.1145/3687272.3688296:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Increased Team Confidence","[""Increased team confidence""]","[""brought a sense of calmness""]","[""doi:10.1145/3779296:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Preventing Learning Bypass","[""Preventing learning bypass""]","[""foster learning rather than bypass it""]","[""doi:10.1145/3769694.3771107:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Typing Effort","[""Reduced typing effort""]","[""time is saved from typing""]","[""doi:10.1109/compsac61105.2024.00252:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Local Exploitation Bias","[""Local exploitation bias""]","[""refine existing concepts later in the exploration""]","[""doi:10.18653/v1/2023.findings-emnlp.901:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Novice Developer Liability","[""Novice developer liability""]","[""liability if it is used by novice developers""]","[""doi:10.1016/j.jss.2023.111734:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Problem Interpretation Errors","[""Problem interpretation errors""]","[""limitations exist in accurate problem interpretation""]","[""doi:10.1134/s0361768824700774:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Resolution By Category","[""High resolution by category""]","[""higher resolution rates""]","[""doi:10.1109/ase63991.2025.00312:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Utility Overrules Cost","[""High utility overrules cost""]","[""outweigh cost concerns""]","[""doi:10.1007/s10664-025-10730-1:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Agent Configuration And Deployment","[""Agent configuration and deployment""]","[""build agents, and deploy them""]","[""doi:10.1145/3687272.3688296:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Over-Documentation Challenge","[""Over-documentation challenge""]","[""overly detailed documentation, which can complicate tests""]","[""doi:10.1109/ase63991.2025.00250:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Task Complexity Increases Non-Determinism","[""Task complexity increases non-determinism""]","[""longer description and higher difficulty tends to suffer from more non-determinism""]","[""doi:10.1145/3697010:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
